,Point No.,Time,Shear Rate,Shear Stress,Viscosity,Torque,Status
0,1,10,0.01,0.00059376,59.4,0.01946,Dy_auto
1,2,20,0.0147,0.00075887,51.7,0.024871,Dy_auto
2,3,30,0.0215,0.0011352,52.7,0.037203,Dy_auto
3,4,40,0.0316,0.0013967,44.2,0.045774,Dy_auto
4,5,50,0.0464,0.0018703,40.3,0.061296,Dy_auto
5,6,60,0.0681,0.0027693,40.6,0.090758,Dy_auto
6,7,70,0.1,0.0043527,43.5,0.14265,Dy_auto
7,8,80,0.147,0.0059891,40.8,0.19628,Dy_auto
8,9,90,0.215,0.0088679,41.2,0.29063,Dy_auto
9,10,100,0.316,0.012837,40.6,0.4207,Dy_auto
10,11,110,0.464,0.018711,40.3,0.61322,Dy_auto
11,12,120,0.681,0.027186,39.9,0.89098,Dy_auto
12,13,130,1,0.039553,39.6,1.2963,Dy_auto
13,14,140,1.47,0.056929,38.8,1.8657,Dy_auto
14,15,150,2.15,0.081015,37.6,2.6551,Dy_auto
15,16,160,3.16,0.11539,36.5,3.7817,Dy_auto
16,17,170,4.64,0.16721,36,5.4799,Dy_auto
17,18,180,6.81,0.25166,36.9,8.2478,Dy_auto
18,19,190,10,0.36502,36.5,11.963,Dy_auto
19,20,200,14.7,0.53998,36.8,17.697,Dy_auto
20,21,210,21.5,0.791,36.7,25.924,Dy_auto
21,22,220,31.6,1.1604,36.7,38.031,Dy_auto
22,23,230,46.4,1.7025,36.7,55.795,Dy_auto
23,24,240,68.1,2.5,36.7,81.934,Dy_auto
24,25,250,100,3.6681,36.7,120.21,Dy_auto
